"yearID","lgID","teamID","R","AVE","OBP","SLG","OPS"
1994,"AL","BAL",589,0.27152489626556,0.348901098901099,0.43801867219917,0.786919771100269
1994,"AL","BOS",552,0.263451776649746,0.334165154264973,0.420812182741117,0.754977337006089
1994,"AL","CAL",543,0.264265787471468,0.3342422176778,0.408825767182348,0.743067984860149
1994,"AL","CHA",633,0.287417554540842,0.366259711431743,0.443683409436834,0.809943120868577
1994,"AL","CLE",679,0.289656887120835,0.350896860986547,0.483838886126305,0.834735747112852
1994,"AL","DET",652,0.264981036662453,0.35154707044108,0.454361567635904,0.805908638076984
1994,"AL","KCA",574,0.268729225262081,0.335016062413951,0.418818716440808,0.753834778854759
1994,"AL","MIN",594,0.276315789473684,0.340173278613771,0.426619433198381,0.766792711812152
1994,"AL","ML4",547,0.262694821518351,0.334751455441111,0.407742584213172,0.742494039654283
1994,"AL","NYA",670,0.289764174611139,0.37434554973822,0.462117410938284,0.836462960676504
1994,"AL","OAK",549,0.25971685971686,0.330359185541066,0.3994851994852,0.729844385026266
1994,"AL","SEA",569,0.269121813031161,0.334569904938558,0.450939994849343,0.785509899787901
1994,"AL","TEX",613,0.279688676876726,0.353452115812918,0.436354506653276,0.789806622466194
1994,"AL","TOR",566,0.268551236749117,0.336041525614985,0.423775870772337,0.759817396387322
1994,"NL","ATL",542,0.267029267029267,0.333411051527162,0.434084434084434,0.767495485611597
1994,"NL","CHN",500,0.259060745278203,0.324561403508772,0.404032669729454,0.728594073238226
1994,"NL","CIN",609,0.285571392848212,0.349708389412292,0.449362340585146,0.799070729997439
1994,"NL","COL",573,0.27408886669995,0.337384650011254,0.438592111832252,0.775976761843505
1994,"NL","FLO",468,0.265664798777382,0.329574223245109,0.39556800815079,0.725142231395899
1994,"NL","HOU",602,0.27787610619469,0.346961825163768,0.445259165613148,0.792220990776916
1994,"NL","LAN",532,0.270235655737705,0.333333333333333,0.414446721311475,0.747780054644809
1994,"NL","MON",585,0.27775,0.342972427706792,0.43525,0.778222427706792
1994,"NL","NYN",506,0.249676919100543,0.315764925373134,0.393641767898682,0.709406693271816
1994,"NL","PHI",521,0.261777438248026,0.331812998859749,0.390119684237331,0.72193268309708
1994,"NL","PIT",466,0.259057971014493,0.32183908045977,0.384316770186335,0.706155850646106
1994,"NL","SDN",479,0.274582104228122,0.329588856436756,0.400934119960669,0.730522976397424
1994,"NL","SFN",504,0.248901524941845,0.317748313561293,0.401912638924787,0.71966095248608
1994,"NL","SLN",535,0.262942080984111,0.33885610531094,0.414402870322911,0.753258975633851
1995,"AL","BAL",704,0.261939218523878,0.342378437443089,0.427744469712632,0.770122907155721
1995,"AL","BOS",791,0.279967980788473,0.356903544348439,0.454672803682209,0.811576348030649
1995,"AL","CAL",801,0.276947599123331,0.351776560014142,0.448296473401076,0.800073033415218
1995,"AL","CHA",755,0.2800395256917,0.35377358490566,0.43102766798419,0.78480125288985
1995,"AL","CLE",840,0.290572792362769,0.360516539890324,0.478719172633254,0.839235712523577
1995,"AL","DET",654,0.247482014388489,0.326545454545455,0.40431654676259,0.730862001308044
1995,"AL","KCA",629,0.260044870487457,0.328388278388278,0.396084030185601,0.724472308573879
1995,"AL","MIN",703,0.279320679320679,0.345960502692998,0.418781218781219,0.764741721474217
1995,"AL","ML4",740,0.2658,0.335778175313059,0.4092,0.744978175313059
1995,"AL","NYA",749,0.275924802910855,0.357281211480895,0.420254699818072,0.777535911298966
1995,"AL","OAK",730,0.263628966639544,0.341332378223496,0.42046379170057,0.761796169924065
1995,"AL","SEA",796,0.275620496397118,0.349768600925596,0.448158526821457,0.797927127747053
1995,"AL","TEX",691,0.265418278037859,0.33768352365416,0.409729289639731,0.747412813293891
1995,"AL","TOR",642,0.259928514694202,0.328467153284672,0.408657664813344,0.737124818098015
1995,"NL","ATL",645,0.249688408807644,0.325813609467456,0.409223099293727,0.735036708761182
1995,"NL","CHN",693,0.264960709248438,0.326937134502924,0.429981865806972,0.756919000309896
1995,"NL","CIN",747,0.270446665306955,0.341981132075472,0.43973077707526,0.781711909150732
1995,"NL","COL",785,0.281537845414497,0.349685534591195,0.470764917901482,0.820450452492677
1995,"NL","FLO",673,0.261563651248465,0.335272727272727,0.405648792468277,0.740921519741004
1995,"NL","HOU",747,0.275259956837355,0.352656168887351,0.399058269570335,0.751714438457686
1995,"NL","LAN",634,0.263658437879401,0.328949771689498,0.399838122217726,0.728787893907223
1995,"NL","MON",621,0.258511722731906,0.319673651029112,0.394495412844037,0.714169063873149
1995,"NL","NYN",657,0.266841468334006,0.329932592457643,0.400161355385236,0.730093947842879
1995,"NL","PHI",615,0.261818181818182,0.332309360318034,0.384040404040404,0.716349764358438
1995,"NL","PIT",629,0.259469313348187,0.323119266055046,0.395989467287827,0.719108733342873
1995,"NL","SDN",668,0.271717171717172,0.33400365630713,0.396767676767677,0.730771333074807
1995,"NL","SFN",652,0.252665459666063,0.323135409123823,0.403741701870851,0.726877110994674
1995,"NL","SLN",563,0.247332077840552,0.313903037162799,0.374346097509939,0.688249134672739
1996,"AL","BAL",949,0.273686060819125,0.350201176106469,0.471963438214097,0.822164614320566
1996,"AL","BOS",928,0.283356497567755,0.359336609336609,0.456567060458652,0.815903669795261
1996,"AL","CAL",762,0.276292648610623,0.338964143426295,0.431058740766796,0.770022884193091
1996,"AL","CHA",898,0.281006378454996,0.36034777208508,0.446669029057406,0.807016801142486
1996,"AL","CLE",952,0.293082203837353,0.368722876627402,0.475268438655166,0.843991315282569
